id,title,condition,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1559253620,Arco Morado Negro Plateado Merlina Cumpleaños Fiesta ,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1559253620-arco-morado-negro-plateado-merlina-cumpleanos-fiesta-_JM,buy_it_now,MCO,MCO435877,MCO-BALLOONS,59900,50,True,2043-05-04T04:00:00.000Z,False,[],MCO118204,False,False,xd_drop_off,me2,['self_service_in'],,,573609394,PELUCHES MASMELO,36.0,1663.89,0.0,COP,Genérica
MCO1559599900,Arco Globos Arena Dorado Blanco Boda Cumpleaños Grado ,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1559599900-arco-globos-arena-dorado-blanco-boda-cumpleanos-grado-_JM,buy_it_now,MCO,MCO435877,MCO-BALLOONS,59900,50,True,2043-05-04T04:00:00.000Z,False,[],MCO118204,False,False,xd_drop_off,me2,['self_service_in'],,,573609394,PELUCHES MASMELO,36.0,1663.89,0.0,COP,Genérica
MCO466414386,"Recordatorio Bautizo, Boda, 15 Años  Y Primera Comunión",new,gold_special,https://articulo.mercadolibre.com.co/MCO-466414386-recordatorio-bautizo-boda-15-anos-y-primera-comunion-_JM,buy_it_now,MCO,MCO8591,MCO-SOUVENIRS,54000,1,True,2041-11-20T18:52:44.000Z,False,[],MCO118204,False,False,xd_drop_off,me2,[],,,131139548,SPONKEVENTOS,36.0,1500.0,0.0,COP,
MCO1361975267,Velas Pastel Torta Ponqué Cumpleaños Estrella Champaña,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1361975267-velas-pastel-torta-ponque-cumpleanos-estrella-champana-_JM,buy_it_now,MCO,MCO441215,MCO-CAKE_TOPPERS,11500,50,True,2043-11-13T04:00:00.000Z,False,[],MCO118204,False,False,xd_drop_off,me2,['self_service_in'],,,573609394,PELUCHES MASMELO,,,,,no brands
MCO1834328498,Kit 12 Vasos 12 Platos Decorativos Fiesta Mexicana,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1834328498-kit-12-vasos-12-platos-decorativos-fiesta-mexicana-_JM,buy_it_now,MCO,MCO413643,MCO-DISPOSABLE_CUPS,14900,1,True,2043-08-24T04:00:00.000Z,False,[],MCO118204,False,False,xd_drop_off,me2,['self_service_in'],,,573609394,PELUCHES MASMELO,,,,,Globos y Peluches Masmelo
MCO1834635976,Kit 12 Vasos 12 Platos Decorativos Mexicana Hawaiana,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1834635976-kit-12-vasos-12-platos-decorativos-mexicana-hawaiana-_JM,buy_it_now,MCO,MCO413643,MCO-DISPOSABLE_CUPS,14900,1,True,2043-08-24T04:00:00.000Z,False,[],MCO118204,False,False,xd_drop_off,me2,['self_service_in'],,,573609394,PELUCHES MASMELO,,,,,Globos y Peluches Masmelo
MCO830037292,Kit Piñata Relleno X100 Y Cajas Sorpresa Among Us,new,gold_special,https://articulo.mercadolibre.com.co/MCO-830037292-kit-pinata-relleno-x100-y-cajas-sorpresa-among-us-_JM,buy_it_now,MCO,MCO118212,MCO-PINATAS,57000,1,True,2041-11-03T04:00:00.000Z,False,[],MCO118204,False,False,xd_drop_off,me2,['self_service_in'],,,143164040,MISTER PIÑATAS,36.0,1583.33,0.0,COP,Surti- Genérico
MCO488317361,Caja Organizador Guardar Dientes De Leche Niños Ratón Pérez,new,gold_special,https://articulo.mercadolibre.com.co/MCO-488317361-caja-organizador-guardar-dientes-de-leche-ninos-raton-perez-_JM,buy_it_now,MCO,MCO8591,MCO-SOUVENIRS,18000,250,True,2038-10-07T04:00:00.000Z,False,[],MCO118204,False,False,cross_docking,me2,[],,,117759656,GLORIAJJW,,,,,
MCO1584807008,Kit Decoración  Frozen Globo 3d Rosa Celeste Feliz Cumple,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1584807008-kit-decoracion-frozen-globo-3d-rosa-celeste-feliz-cumple-_JM,buy_it_now,MCO,MCO435877,MCO-BALLOONS,34999,250,True,2043-05-10T04:00:00.000Z,False,[],MCO118204,False,False,xd_drop_off,me2,['self_service_in'],,,1085789498,LENCERIASEDUCTORA.CO,36.0,972.19,0.0,COP,Premium
MCO1914850270,Piñata Para Juguetes Paw Patrol Decoración Fiesta Rifas,new,gold_pro,https://articulo.mercadolibre.com.co/MCO-1914850270-pinata-para-juguetes-paw-patrol-decoracion-fiesta-rifas-_JM,buy_it_now,MCO,MCO118212,MCO-PINATAS,16000,1,True,2043-09-14T04:00:00.000Z,False,[],MCO118204,False,False,cross_docking,me2,['self_service_in'],,,1196168641,LA JUGUETERIA2022,,,,,jugueteria
