id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,official_store_name,accepts_mercadopago,stop_time,location,seller_contact,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,brand_value_name
MCO1389191403,Toyota 4runner Sr5 4.000cc  Automática Gasolina 4x4,used,MCO17066741,gold_premium,https://carro.mercadolibre.com.co/MCO-1389191403-toyota-4runner-sr5-4000cc-automatica-gasolina-4x4-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,198000000,,1,1874.0,Distoyota Usados,False,2024-06-08T08:34:08.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQk1PUjI2NzM2', 'name': 'Morato'}, 'city': {'id': 'TUNPQ1NVQjUzNzQ4', 'name': 'Suba'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1743,False,False,,not_specified,[],,,37418405,TUC_CVTOYOTAMORATO,Toyota
MCO1389254483,Kia Rio R Ub Ex 2017,used,,gold_premium,https://carro.mercadolibre.com.co/MCO-1389254483-kia-rio-r-ub-ex-2017-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,51000000,,1,,,False,2024-03-07T04:00:04.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkVTVDc5MDk1', 'name': 'Estrada'}, 'city': {'id': 'TUNPQ0VORzkzMTUz', 'name': 'Engativa'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1743,False,False,,not_specified,[],,,1088303769,VHU3785724,Kia
MCO1389241325,Nissan Frontier2.5 Gasolina Estacas,used,MCO17061836,gold_premium,https://carro.mercadolibre.com.co/MCO-1389241325-nissan-frontier25-gasolina-estacas-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,99900000,,1,,,False,2024-06-05T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQlBPTjg5NjYx', 'name': 'Pontevedra'}, 'city': {'id': 'TUNPQ1NVQjUzNzQ4', 'name': 'Suba'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.570868, 'longitude': -74.297333}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1743,False,False,,not_specified,[],,,200620945,JEDUARDOPINEDA,Nissan
MCO1389264589,Ford Ranger Xlt 2023 Euro 6 Ford Casa Toro 170 J.a ,new,,gold_premium,https://carro.mercadolibre.com.co/MCO-1389264589-ford-ranger-xlt-2023-euro-6-ford-casa-toro-170-ja-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,189990000,,1,1779.0,Casa Toro Ford,False,2025-02-05T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQlNBTjkzMzk0', 'name': 'San José de Bavaria'}, 'city': {'id': 'TUNPQ1NVQjUzNzQ4', 'name': 'Suba'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.76755, 'longitude': -74.063793}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1743,False,False,,not_specified,[],,,94768062,TUC_CVCASATOROAUTOMOTRIZFORD,Ford
MCO2200910658,Ford F-150 3.5 Lariat Sport,used,MCO21073845,gold_premium,https://carro.mercadolibre.com.co/MCO-2200910658-ford-f-150-35-lariat-sport-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,235000000,,1,,,False,2024-03-07T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0NISTk4OWIx', 'name': 'Chía'}, 'state': {'id': 'TUNPUENVTmE3NmQ4', 'name': 'Cundinamarca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.864758, 'longitude': -74.050918}","{'contact': 'Leonel Martínez Fernández', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1743,False,False,,not_specified,[],,,1074743086,TUC_CAJICA2,Ford
MCO2201035918,Chevrolet Nqr 5.2 700p Reward 153 Hp 2021,used,MCO26617842,gold_premium,https://carro.mercadolibre.com.co/MCO-2201035918-chevrolet-nqr-52-700p-reward-153-hp-2021-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,178000000,,1,,,False,2024-03-07T04:00:05.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0dJUmExMTU3', 'name': 'Girardota'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.3774241, 'longitude': -75.4455662}","{'contact': 'SEBASTIAN MARIN', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1743,False,False,,not_specified,[],,,1669867977,SMARIN81260,Chevrolet
MCO2200908076,Ford Explorer 2.3 Limited 4x4 2018,used,MCO17050165,gold_premium,https://carro.mercadolibre.com.co/MCO-2200908076-ford-explorer-23-limited-4x4-2018-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,120900000,137900000.0,1,1254.0,Motor Group,False,2024-06-05T15:15:56.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkxBUzI4Njk3', 'name': 'Las Ferias'}, 'city': {'id': 'TUNPQ0VORzkzMTUz', 'name': 'Engativa'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.685618, 'longitude': -74.0843523}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1743,False,False,,not_specified,[],,,463923512,MOTOR GROUP,Ford
MCO1389195971,Ford Explorer 3.0 St 2021,used,,gold_premium,https://carro.mercadolibre.com.co/MCO-1389195971-ford-explorer-30-st-2021-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,200000000,,1,,,False,2024-03-07T04:01:18.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkJFTDMyODg5OA', 'name': 'Belén'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1743,False,False,,not_specified,[],,,1669737329,JCORREA35847,Ford
MCO1389157201,Toyota Land Cruiser 4.5 Imperial Lc200 Diésel 2015,used,MCO17067379,gold_premium,https://carro.mercadolibre.com.co/MCO-1389157201-toyota-land-cruiser-45-imperial-lc200-diesel-2015-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,279900000,319900000.0,1,1254.0,Motor Group,False,2024-06-05T15:14:53.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkxBUzI4Njk3', 'name': 'Las Ferias'}, 'city': {'id': 'TUNPQ0VORzkzMTUz', 'name': 'Engativa'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.685618, 'longitude': -74.0843523}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1743,False,False,,not_specified,[],,,463923512,MOTOR GROUP,Toyota
MCO2200848844,Chevrolet Equinox 1.5 Premier 2018,used,MCO17046212,gold_premium,https://carro.mercadolibre.com.co/MCO-2200848844-chevrolet-equinox-15-premier-2018-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,85900000,94900000.0,1,1254.0,Motor Group,False,2024-06-05T15:15:56.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkxBUzI4Njk3', 'name': 'Las Ferias'}, 'city': {'id': 'TUNPQ0VORzkzMTUz', 'name': 'Engativa'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.685618, 'longitude': -74.0843523}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1743,False,False,,not_specified,[],,,463923512,MOTOR GROUP,Chevrolet
