id,title,condition,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO540365240,Quality Park Sobres # 10 Doble Ventana Self-sello De Segurid,new,gold_special,https://articulo.mercadolibre.com.co/MCO-540365240-quality-park-sobres-10-doble-ventana-self-sello-de-segurid-_JM,buy_it_now,MCO,MCO166867,MCO-EVENT_TICKETS,397000,1,True,2039-10-31T04:00:00.000Z,False,[],MCO40433,False,True,cross_docking,me2,['mandatory_free_shipping'],,,163181195,MAUJA_BUSINESS,36,11027.78,0,COP,Quality Park
MCO894448214,Compatible Con Gq43vt4t.,new,gold_special,https://articulo.mercadolibre.com.co/MCO-894448214-compatible-con-gq43vt4t-_JM,buy_it_now,MCO,MCO118006,MCO-CONCERT_TICKETS,153000,1,True,2042-05-10T04:00:00.000Z,False,[],MCO40433,False,True,cross_docking,me2,['mandatory_free_shipping'],,,279242493,YMAGINARIUM,36,4250.0,0,COP,USARemote
MCO1784739814,Figura De Cartón Vertical Tamaño Real Con Gráficos Avanzados,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1784739814-figura-de-carton-vertical-tamano-real-con-graficos-avanzados-_JM,buy_it_now,MCO,MCO118007,MCO-EVENT_TICKETS,462990,1,True,2043-08-05T04:00:00.000Z,False,[],MCO40433,False,True,drop_off,me2,['mandatory_free_shipping'],,,1363802361,IMPORTACIONES.DC,36,12860.83,0,COP,Pyle
MCO1390410341,"Bolsa Transparente Aprobada Por El Estadio, Mochila Transpa.",new,gold_special,https://articulo.mercadolibre.com.co/MCO-1390410341-bolsa-transparente-aprobada-por-el-estadio-mochila-transpa-_JM,buy_it_now,MCO,MCO118006,MCO-CONCERT_TICKETS,120990,1,True,2044-02-05T04:00:00.000Z,False,[],MCO40433,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,1650176991,SHEA20240123174423,36,3360.83,0,COP,Edraco
MCO1784764586,Disney Junior Jake And The Never Land Pirates - Barco Pirata,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1784764586-disney-junior-jake-and-the-never-land-pirates-barco-pirata-_JM,buy_it_now,MCO,MCO118007,MCO-EVENT_TICKETS,390390,1,True,2043-08-05T04:00:00.000Z,False,[],MCO40433,False,True,drop_off,me2,['mandatory_free_shipping'],,,1363802361,IMPORTACIONES.DC,36,10844.17,0,COP,Pyle
MCO1310187569,"Bolsa Cruzada Transparente, Aprobada Por El Estadio Para Con",new,gold_special,https://articulo.mercadolibre.com.co/MCO-1310187569-bolsa-cruzada-transparente-aprobada-por-el-estadio-para-con-_JM,buy_it_now,MCO,MCO118006,MCO-CONCERT_TICKETS,100320,1,True,2043-06-25T04:00:00.000Z,False,[],MCO40433,False,True,drop_off,me2,['mandatory_free_shipping'],,,420759583,FULL AJM26,36,2786.67,0,COP,KETIEE
MCO1784790726,Cartón Personas Kylo Ren Acción Tamaño Vida Cartón,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1784790726-carton-personas-kylo-ren-accion-tamano-vida-carton-_JM,buy_it_now,MCO,MCO118007,MCO-EVENT_TICKETS,402490,1,True,2043-08-05T04:00:00.000Z,False,[],MCO40433,False,True,drop_off,me2,['mandatory_free_shipping'],,,1363802361,IMPORTACIONES.DC,36,11180.28,0,COP,Pyle
MCO1684027968,"Mini Bolsa Transparente, Aprobada Por El Estadio, Rinonera C",new,gold_special,https://articulo.mercadolibre.com.co/MCO-1684027968-mini-bolsa-transparente-aprobada-por-el-estadio-rinonera-c-_JM,buy_it_now,MCO,MCO118006,MCO-CONCERT_TICKETS,83600,1,True,2043-06-25T04:00:00.000Z,False,[],MCO40433,False,True,drop_off,me2,[],,,420759583,FULL AJM26,36,2322.22,0,COP,Edraco
MCO2093241860,Dynomighty Men's Mighty Passport Keep On Turnin,new,gold_special,https://articulo.mercadolibre.com.co/MCO-2093241860-dynomighty-mens-mighty-passport-keep-on-turnin-_JM,buy_it_now,MCO,MCO118007,MCO-EVENT_TICKETS,134400,1,True,2043-12-08T04:00:00.000Z,False,[],MCO40433,False,True,drop_off,me2,['mandatory_free_shipping'],,,300671696,EMY_STORE,36,3733.33,0,COP,Nuevo
MCO1364032025,Skywin Air Tent Fort Playhouse Para Niños - 2 Pack Large Fis,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1364032025-skywin-air-tent-fort-playhouse-para-ninos-2-pack-large-fis-_JM,buy_it_now,MCO,MCO118006,MCO-CONCERT_TICKETS,305900,1,True,2043-11-18T04:00:00.000Z,False,[],MCO40433,False,True,cross_docking,me2,['mandatory_free_shipping'],,,68924692,GLOBALMARKTRADINGSERVICES,36,8497.22,0,COP,Skywin
