id,title,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,accepts_mercadopago,stop_time,location,seller_contact,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,brand_value_name
MCO2126866414,Llave De Rueda Manual ,free,https://servicio.mercadolibre.com.co/MCO-2126866414-llave-de-rueda-manual-_JM,classified,MCO,MCO155465,MCO-OTHER_SERVICES,,1,False,2024-03-02T04:00:00.000Z,"{'address_line': 'Avenida 47a SN', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0JFTDg0Y2E', 'name': 'Bello'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.3452282, 'longitude': -75.5544654}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,366220242,DANILOARIZA610,
MCO2124976654,Servicio De Fotografía Profesional Para Productos ,free,https://profesional.mercadolibre.com.co/MCO-2124976654-servicio-de-fotografia-profesional-para-productos-_JM,classified,MCO,MCO1894,MCO-OTHER_SERVICES,,1,False,2024-03-01T04:00:00.000Z,"{'address_line': 'Calle calle 147 #99-52', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkNPTDEyMDUy', 'name': 'Colina Norte'}, 'city': {'id': 'TUNPQ1NVQjUzNzQ4', 'name': 'Suba'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.7439402, 'longitude': -74.0900655}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,194606999,JUANSEBASTIANVIGOYA,
MCO1376574865,Asesoría En Tramites De Compra,free,https://servicio.mercadolibre.com.co/MCO-1376574865-asesoria-en-tramites-de-compra-_JM,classified,MCO,MCO10203,MCO-VEHICLE_MAINTENANCE_SERVICES,,1,False,2024-02-28T04:00:00.000Z,"{'address_line': 'Cl. 8 Sur #71d:20, Kennedy, Bogotá, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQlRFQzkwNzcy', 'name': 'Techo'}, 'city': {'id': 'TUNPQ0tFTjQyODYy', 'name': 'Kennedy'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.617243, 'longitude': -74.1377557}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,94634016,319BIO659PWR8238,
MCO1375931765,Filetiadora Familiar,free,https://servicio.mercadolibre.com.co/MCO-1375931765-filetiadora-familiar-_JM,classified,MCO,MCO9065,MCO-OTHER_SERVICES,,1,False,2024-02-26T04:00:00.000Z,"{'address_line': 'Carrera 97 #48a-105', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkxBUDcxNDMwMQ', 'name': 'La Pradera'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2597059, 'longitude': -75.6114587}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,1387567880,RIOSDANIELA20230531120806,
MCO2131013752,"Trabajos En Autocad 2d Y 3d, Arcgis Y Revit",free,https://profesional.mercadolibre.com.co/MCO-2131013752-trabajos-en-autocad-2d-y-3d-arcgis-y-revit-_JM,classified,MCO,MCO1894,MCO-OTHER_SERVICES,,1,False,2024-03-04T04:00:00.000Z,"{'address_line': 'Calle 91B Sur #4', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkVMMjkxODM', 'name': 'El Virrey Ultima Etapa'}, 'city': {'id': 'TUNPQ1VTTTI0MjE0', 'name': 'Usme'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.5000373, 'longitude': -74.1094395}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,678022130,BEJARANOPABLO20220908212528,
MCO2211738076,Super Pack De 4.000 Vectores Urbanos Para Camisetas,free,https://servicio.mercadolibre.com.co/MCO-2211738076-super-pack-de-4000-vectores-urbanos-para-camisetas-_JM,classified,MCO,MCO92679,MCO-PRINTING_SERVICES,20000.0,1,False,2024-04-16T04:00:00.000Z,"{'address_line': 'Calle 33 #14 Este-120, Soacha, Cundinamarca, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQlNPQTMyNDE3NQ', 'name': 'Soacha'}, 'city': {'id': 'TUNPQ1NPQTZlMjkx', 'name': 'Soacha'}, 'state': {'id': 'TUNPUENVTmE3NmQ4', 'name': 'Cundinamarca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.564093, 'longitude': -74.1913059}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,1684120105,VEIN20240216102126,
MCO1391146777,Renders Y Representacion Arquitectonica 3d,free,https://profesional.mercadolibre.com.co/MCO-1391146777-renders-y-representacion-arquitectonica-3d-_JM,classified,MCO,MCO155406,MCO-OTHER_SERVICES,,1,False,2024-04-12T04:00:00.000Z,"{'address_line': 'Cra. 81 #37-100, Laureles - Estadio, Medellin, Medellín, Laureles, Medellín, Antioquia, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkxBVTg0OTAyNg', 'name': 'Laureles'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2460313, 'longitude': -75.6013263}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,174721233,ARJU8108227,
MCO2145927438,Alquiler Sonido Pista Led Pantalla Led Bingo Karaoke Suba,free,https://fiesta-evento.mercadolibre.com.co/MCO-2145927438-alquiler-sonido-pista-led-pantalla-led-bingo-karaoke-suba-_JM,classified,MCO,MCO92640,MCO-ILUMINATION_DJ_AND_MUSIC_EQUIPMENT_RENTAL_SERVICES,,1,False,2024-03-11T04:00:00.000Z,"{'address_line': 'Cra. 100 #32-25, Bogotá, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkFDQTc4MjMz', 'name': 'Acacias'}, 'city': {'id': 'TUNPQ1NVQjUzNzQ4', 'name': 'Suba'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.6764299, 'longitude': -74.1414257}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,1633463421,BODI20240111220132,
MCO2138997906,Galletas Para Eventos ,free,https://fiesta-evento.mercadolibre.com.co/MCO-2138997906-galletas-para-eventos-_JM,classified,MCO,MCO154834,MCO-PASTRY_MAKING_SERVICES,,1,False,2024-03-08T04:00:00.000Z,"{'address_line': 'Cra. 21 #108a, Bogotá, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQlNBTjg4MjEy', 'name': 'San Patricio'}, 'city': {'id': 'TUNPQ1VTQTY3MTQ1', 'name': 'Usaquén'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.6057643, 'longitude': -74.0886075}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,657471993,DIJE6258986,
MCO1390208401,Www.pyptopografos.com,free,https://servicio.mercadolibre.com.co/MCO-1390208401-wwwpyptopografoscom-_JM,classified,MCO,MCO154957,MCO-HOME_AND_CONSTRUCTION_SERVICES,1000000.0,1,False,2024-04-09T04:00:00.000Z,"{'address_line': 'Calle 45 #27a-57, Bogotá, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkNIQTEzODg5', 'name': 'Chapinero Central'}, 'city': {'id': 'TUNPQ0NIQTk2OTI1', 'name': 'Chapinero'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.6344843, 'longitude': -74.0783027}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,1496130303,PALACIOSCESAR20231002093906,
