id,title,condition,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,accepts_mercadopago,stop_time,location,seller_contact,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname
MCO1980372538,Apto Duplex En Venta Bachue Noroccidente De Bogotá D.c,used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-1980372538-apto-duplex-en-venta-bachue-noroccidente-de-bogota-dc-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,170000000,1,False,2024-04-20T04:00:00.000Z,"{'address_line': 'Calle 89 #95b-25, Bogotá, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkNJVTk5OTEw', 'name': 'Ciudad Bachue'}, 'city': {'id': 'TUNPQ0VORzkzMTUz', 'name': 'Engativa'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.7155747, 'longitude': -74.1016714}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,92944803,INMOBILIARIA BOCHICA
MCO1342884207,Casa Condominio En Venta En Cali Pance. Cod 8768,used,gold_premium,https://casa.mercadolibre.com.co/MCO-1342884207-casa-condominio-en-venta-en-cali-pance-cod-8768-_JM,classified,MCO,MCO1468,MCO-INDIVIDUAL_HOUSES_FOR_SALE,1650000000,1,False,2024-03-25T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQlBBTjg3ODU3OA', 'name': 'Pance'}, 'city': {'id': 'TUNPQ0NBTDYyZDA0', 'name': 'Cali'}, 'state': {'id': 'TUNPUFZBTGExNmNjNg', 'name': 'Valle Del Cauca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 3.338, 'longitude': -76.536}","{'contact': 'Casas y Mas Cali', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,174673200,CARLOSMAURICIOMORACRUZ
MCO1337049709,Vendo Finca En Barbosa Antioquia Sector La Calda,used,gold_premium,https://inmueble.mercadolibre.com.co/MCO-1337049709-vendo-finca-en-barbosa-antioquia-sector-la-calda-_JM,classified,MCO,MCO6403,MCO-FARM_HOUSES_FOR_SALE,410000000,1,False,2024-09-21T01:40:13.463Z,"{'address_line': 'La Calda', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0NBTDQ5NDdh', 'name': 'Caldas'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.4913355, 'longitude': -75.2959355}","{'contact': 'Gloria Clemencia Loaiza Botero', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,317400562,URVEINMOBILIARIACOLOMBIASAS
MCO1344037109,Castilla Casa Nueva Rentable Venta 7 Aptos 4 Niveles,new,gold_premium,https://casa.mercadolibre.com.co/MCO-1344037109-castilla-casa-nueva-rentable-venta-7-aptos-4-niveles-_JM,classified,MCO,MCO1468,MCO-INDIVIDUAL_HOUSES_FOR_SALE,950000000,1,False,2024-03-29T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQlNBTjgwNDY4', 'name': 'Santa Catalina'}, 'city': {'id': 'TUNPQ0tFTjQyODYy', 'name': 'Kennedy'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.605506, 'longitude': -74.1526223}","{'contact': 'BIENES RAÍCES LIBERTAD', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,1442235714,CACERESDANIEL20230808135232
MCO1342633021,"En Venta Maravillosa Finca En Viani, Cundinamarca",used,gold_premium,https://inmueble.mercadolibre.com.co/MCO-1342633021-en-venta-maravillosa-finca-en-viani-cundinamarca-_JM,classified,MCO,MCO6403,MCO-FARM_HOUSES_FOR_SALE,300000000,1,False,2024-09-25T04:00:00.000Z,"{'address_line': 'Vereda Alta Gracia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ1ZJQTZlMWJi', 'name': 'Vianí'}, 'state': {'id': 'TUNPUENVTmE3NmQ4', 'name': 'Cundinamarca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.8710642, 'longitude': -74.5685863}","{'contact': 'HUS INMOBILIARIA', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,1461457366,HUSINMOBILIARIA
MCO1299152758,Cambio O Vendo Casa Finca En Camilo C Amaga,used,gold_premium,https://inmueble.mercadolibre.com.co/MCO-1299152758-cambio-o-vendo-casa-finca-en-camilo-c-amaga-_JM,classified,MCO,MCO6403,MCO-FARM_HOUSES_FOR_SALE,350000000,1,False,2024-04-10T11:28:26.248Z,"{'address_line': 'Camilo C', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0FNQTdmYWFk', 'name': 'Amagá'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.0353581, 'longitude': -75.7009404}","{'contact': 'Jorge Londoño', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,1220323753,TIERRASYPROPIEDADES
MCO1367868055,Encantadora Finca En Venta En Guarne,new,gold_premium,https://inmueble.mercadolibre.com.co/MCO-1367868055-encantadora-finca-en-venta-en-guarne-_JM,classified,MCO,MCO6403,MCO-FARM_HOUSES_FOR_SALE,550000000,1,False,2024-12-02T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0dVQTVkOTk0', 'name': 'Guarne'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2825086, 'longitude': -75.4445972}","{'contact': 'S&D INMOBILIARE S.A.S', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,438059721,SYDINMOBILIAREINMOBILIARIA
MCO1391524809,!ganga! Vendo Hermosa Casa Medellín - San Javier (cerca Estación Metro),used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-1391524809-ganga-vendo-hermosa-casa-medellin-san-javier-cerca-estacion-metro-_JM,classified,MCO,MCO164683,MCO-APARTMENTS_FOR_VACATION_RENTAL,220000000,1,False,2024-05-13T04:00:00.000Z,"{'address_line': 'Calle 48A #100a-43, San Javier II, Medellín, Antioquia, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQlNBTjY0MDQ3MQ', 'name': 'San Javier'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2597813, 'longitude': -75.6156922}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,not_specified,not_specified,[],,,269085164,ALBERTOBETANCURALZATE
MCO2209340976,Se Arrienda Locales ,used,gold_premium,https://inmueble.mercadolibre.com.co/MCO-2209340976-se-arrienda-locales-_JM,classified,MCO,MCO50560,MCO-RETAIL_SPACE_FOR_RENT,1200000,1,False,2024-03-16T04:00:00.000Z,"{'address_line': 'Calle 79b #69t-98, Bogotá, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkJPTjYyMjI5', 'name': 'Bonanza'}, 'city': {'id': 'TUNPQ0VORzkzMTUz', 'name': 'Engativa'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.6914195, 'longitude': -74.0857849}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,not_specified,not_specified,[],,,401224552,PAULAVASQUEZ1508
MCO2211752216,Excelente Apartaestudio,used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-2211752216-excelente-apartaestudio-_JM,classified,MCO,MCO1473,MCO-APARTMENTS_FOR_RENT,1800000,1,False,2024-03-17T04:00:00.000Z,"{'address_line': 'calle 74 #11-69 #SN-SN', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkVMODQxMDI', 'name': 'El Nogal'}, 'city': {'id': 'TUNPQ0NIQTk2OTI1', 'name': 'Chapinero'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.6595753, 'longitude': -74.0584534}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,not_specified,not_specified,[],,,790689150,GOCE5169343
